snr,tbs,itbs,nr,bler
-29.7,256,2,2,1.0
-29.7,256,2,4,1.0
-29.7,256,2,8,1.0
-29.7,256,2,16,1.0
-29.7,256,2,32,1.0
-29.7,256,2,64,1.0
-29.7,256,2,128,1.0
-29.7,256,3,1,1.0
-29.7,256,3,2,1.0
-29.7,256,3,4,1.0
-29.7,256,3,8,1.0
-29.7,256,3,16,1.0
-29.7,256,3,32,1.0
-29.7,256,3,64,1.0
-29.7,256,3,128,1.0
-29.7,256,4,1,1.0
-29.7,256,4,2,1.0
-29.7,256,4,4,1.0
-29.7,256,4,8,1.0
-29.7,256,4,16,1.0
-29.7,256,4,32,1.0
-29.7,256,4,64,1.0
-29.7,256,4,128,1.0
-29.7,256,6,1,1.0
-29.7,256,6,2,1.0
-29.7,256,6,4,1.0
-29.7,256,6,8,1.0
-29.7,256,6,16,1.0
-29.7,256,6,32,1.0
-29.7,256,6,64,1.0
-29.7,256,6,128,1.0
-29.7,256,8,1,1.0
-29.7,256,8,2,1.0
-29.7,256,8,4,1.0
-29.7,256,8,8,1.0
-29.7,256,8,16,1.0
-29.7,256,8,32,1.0
-29.7,256,8,64,1.0
-29.7,256,8,128,1.0
-29.6,256,0,1,1.0
-29.6,256,0,2,1.0
-29.6,256,0,4,1.0
-29.6,256,0,8,1.0
-29.6,256,0,16,1.0
-29.6,256,0,32,1.0
-29.6,256,0,64,1.0
-29.6,256,0,128,1.0
-29.6,256,1,1,1.0
-29.6,256,1,2,1.0
-29.6,256,1,4,1.0
-29.6,256,1,8,1.0
-29.6,256,1,16,1.0
-29.6,256,1,32,1.0
-29.6,256,1,64,1.0
-29.6,256,1,128,1.0
-29.6,256,2,1,1.0
-29.6,256,2,2,1.0
-29.6,256,2,4,1.0
-29.6,256,2,8,1.0
-29.6,256,2,16,1.0
-29.6,256,2,32,1.0
-29.6,256,2,64,1.0
-29.6,256,2,128,1.0
-29.6,256,3,1,1.0
-29.6,256,3,2,1.0
-29.6,256,3,4,1.0
-29.6,256,3,8,1.0
-29.6,256,3,16,1.0
-29.6,256,3,32,1.0
-29.6,256,3,64,1.0
-29.6,256,3,128,1.0
-29.6,256,4,1,1.0
-29.6,256,4,2,1.0
-29.6,256,4,4,1.0
-29.6,256,4,8,1.0
-29.6,256,4,16,1.0
-29.6,256,4,32,1.0
-29.6,256,4,64,1.0
-29.6,256,4,128,1.0
-29.6,256,6,1,1.0
-29.6,256,6,2,1.0
-29.6,256,6,4,1.0
-29.6,256,6,8,1.0
-29.6,256,6,16,1.0
-29.6,256,6,32,1.0
-29.6,256,6,64,1.0
-29.6,256,6,128,1.0
-29.6,256,8,1,1.0
-29.6,256,8,2,1.0
-29.6,256,8,4,1.0
-29.6,256,8,8,1.0
-29.6,256,8,16,1.0
-29.6,256,8,32,1.0
-29.6,256,8,64,1.0
-29.6,256,8,128,1.0
-29.5,256,0,1,1.0
-29.5,256,0,2,1.0
-29.5,256,0,4,1.0
-29.5,256,0,8,1.0
-29.5,256,0,16,1.0
-29.5,256,0,32,1.0
-29.5,256,0,64,1.0
-29.5,256,0,128,1.0
-29.5,256,1,1,1.0
-29.5,256,1,2,1.0
-29.5,256,1,4,1.0
-29.5,256,1,8,1.0
-29.5,256,1,16,1.0
-29.5,256,1,32,1.0
-29.5,256,1,64,1.0
-29.5,256,1,128,1.0
-29.5,256,2,1,1.0
-29.5,256,2,2,1.0
-29.5,256,2,4,1.0
-29.5,256,2,8,1.0
-29.5,256,2,16,1.0
-29.5,256,2,32,1.0
-29.5,256,2,64,1.0
-29.5,256,2,128,1.0
-29.5,256,3,1,1.0
-29.5,256,3,2,1.0
-29.5,256,3,4,1.0
-29.5,256,3,8,1.0
-29.5,256,3,16,1.0
-29.5,256,3,32,1.0
-29.5,256,3,64,1.0
-29.5,256,3,128,1.0
-29.5,256,4,1,1.0
-29.5,256,4,2,1.0
-29.5,256,4,4,1.0
-29.5,256,4,8,1.0
-29.5,256,4,16,1.0
-29.5,256,4,32,1.0
-29.5,256,4,64,1.0
-29.5,256,4,128,1.0
-29.5,256,6,1,1.0
-29.5,256,6,2,1.0
-29.5,256,6,4,1.0
-29.5,256,6,8,1.0
-29.5,256,6,16,1.0
-29.5,256,6,32,1.0
-29.5,256,6,64,1.0
-29.5,256,6,128,1.0
-29.5,256,8,1,1.0
-29.5,256,8,2,1.0
-29.5,256,8,4,1.0
-29.5,256,8,8,1.0
-29.5,256,8,16,1.0
-29.5,256,8,32,1.0
-29.5,256,8,64,1.0
-29.5,256,8,128,1.0
-29.4,256,0,1,1.0
-29.4,256,0,2,1.0
-29.4,256,0,4,1.0
-29.4,256,0,8,1.0
-29.4,256,0,16,1.0
-29.4,256,0,32,1.0
-29.4,256,0,64,1.0
-29.4,256,0,128,1.0
-29.4,256,1,1,1.0
-29.4,256,1,2,1.0
-29.4,256,1,4,1.0
-29.4,256,1,8,1.0
-29.4,256,1,16,1.0
-29.4,256,1,32,1.0
-29.4,256,1,64,1.0
-29.4,256,1,128,1.0
-29.4,256,2,1,1.0
-29.4,256,2,2,1.0
-29.4,256,2,4,1.0
-29.4,256,2,8,1.0
-29.4,256,2,16,1.0
-29.4,256,2,32,1.0
-29.4,256,2,64,1.0
-29.4,256,2,128,1.0
-29.4,256,3,1,1.0
-29.4,256,3,2,1.0
-29.4,256,3,4,1.0
-29.4,256,3,8,1.0
-29.4,256,3,16,1.0
-29.4,256,3,32,1.0
-29.4,256,3,64,1.0
-29.4,256,3,128,1.0
-29.4,256,4,1,1.0
-29.4,256,4,2,1.0
-29.4,256,4,4,1.0
-29.4,256,4,8,1.0
-29.4,256,4,16,1.0
-29.4,256,4,32,1.0
-29.4,256,4,64,1.0
-29.4,256,4,128,1.0
-29.4,256,6,1,1.0
-29.4,256,6,2,1.0
-29.4,256,6,4,1.0
-29.4,256,6,8,1.0
-29.4,256,6,16,1.0
-29.4,256,6,32,1.0
-29.4,256,6,64,1.0
-29.4,256,6,128,1.0
-29.4,256,8,1,1.0
-29.4,256,8,2,1.0
-29.4,256,8,4,1.0
-29.4,256,8,8,1.0
-29.4,256,8,16,1.0
-29.4,256,8,32,1.0
-29.4,256,8,64,1.0
-29.4,256,8,128,1.0
-29.3,256,0,1,1.0
-29.3,256,0,2,1.0
-29.3,256,0,4,1.0
-29.3,256,0,8,1.0
-29.3,256,0,16,1.0
-29.3,256,0,32,1.0
-29.3,256,0,64,1.0
-29.3,256,0,128,1.0
-29.3,256,1,1,1.0
-29.3,256,1,2,1.0
-29.3,256,1,4,1.0
-29.3,256,1,8,1.0
-29.3,256,1,16,1.0
-29.3,256,1,32,1.0
-29.3,256,1,64,1.0
-29.3,256,1,128,1.0
-29.3,256,2,1,1.0
-29.3,256,2,2,1.0
-29.3,256,2,4,1.0
-29.3,256,2,8,1.0
-29.3,256,2,16,1.0
-29.3,256,2,32,1.0
-29.3,256,2,64,1.0
-29.3,256,2,128,1.0
-29.3,256,3,1,1.0
-29.3,256,3,2,1.0
-29.3,256,3,4,1.0
-29.3,256,3,8,1.0
-29.3,256,3,16,1.0
-29.3,256,3,32,1.0
-29.3,256,3,64,1.0
-29.3,256,3,128,1.0
-29.3,256,4,1,1.0
-29.3,256,4,2,1.0
-29.3,256,4,4,1.0
-29.3,256,4,8,1.0
-29.3,256,4,16,1.0
-29.3,256,4,32,1.0
-29.3,256,4,64,1.0
-29.3,256,4,128,1.0
-29.3,256,6,1,1.0
-29.3,256,6,2,1.0
-29.3,256,6,4,1.0
-29.3,256,6,8,1.0
-29.3,256,6,16,1.0
-29.3,256,6,32,1.0
-29.3,256,6,64,1.0
-29.3,256,6,128,1.0
-29.3,256,8,1,1.0
-29.3,256,8,2,1.0
-29.3,256,8,4,1.0
-29.3,256,8,8,1.0
-29.3,256,8,16,1.0
-29.3,256,8,32,1.0
-29.3,256,8,64,1.0
-29.3,256,8,128,1.0
-29.2,256,0,1,1.0
-29.2,256,0,2,1.0
-29.2,256,0,4,1.0
-29.2,256,0,8,1.0
-29.2,256,0,16,1.0
-29.2,256,0,32,1.0
-29.2,256,0,64,1.0
-29.2,256,0,128,1.0
-29.2,256,1,1,1.0
-29.2,256,1,2,1.0
-29.2,256,1,4,1.0
-29.2,256,1,8,1.0
-29.2,256,1,16,1.0
-29.2,256,1,32,1.0
-29.2,256,1,64,1.0
-29.2,256,1,128,1.0
-29.2,256,2,1,1.0
-29.2,256,2,2,1.0
-29.2,256,2,4,1.0
-29.2,256,2,8,1.0
-29.2,256,2,16,1.0
-29.2,256,2,32,1.0
-29.2,256,2,64,1.0
-29.2,256,2,128,1.0
-29.2,256,3,1,1.0
-29.2,256,3,2,1.0
-29.2,256,3,4,1.0
-29.2,256,3,8,1.0
-29.2,256,3,16,1.0
-29.2,256,3,32,1.0
-29.2,256,3,64,1.0
-29.2,256,3,128,1.0
-29.2,256,4,1,1.0
-29.2,256,4,2,1.0
-29.2,256,4,4,1.0
-29.2,256,4,8,1.0
-29.2,256,4,16,1.0
-29.2,256,4,32,1.0
-29.2,256,4,64,1.0
-29.2,256,4,128,1.0
-29.2,256,6,1,1.0
-29.2,256,6,2,1.0
-29.2,256,6,4,1.0
-29.2,256,6,8,1.0
-29.2,256,6,16,1.0
-29.2,256,6,32,1.0
-29.2,256,6,64,1.0
-29.2,256,6,128,1.0
-29.2,256,8,1,1.0
-29.2,256,8,2,1.0
-29.2,256,8,4,1.0
-29.2,256,8,8,1.0
-29.2,256,8,16,1.0
-29.2,256,8,32,1.0
-29.2,256,8,64,1.0
-29.2,256,8,128,1.0
-29.1,256,0,1,1.0
-29.1,256,0,2,1.0
-29.1,256,0,4,1.0
-29.1,256,0,8,1.0
-29.1,256,0,16,1.0
-29.1,256,0,32,1.0
-29.1,256,0,64,1.0
-29.1,256,0,128,1.0
-29.1,256,1,1,1.0
-29.1,256,1,2,1.0
-29.1,256,1,4,1.0
-29.1,256,1,8,1.0
-29.1,256,1,16,1.0
-29.1,256,1,32,1.0
-29.1,256,1,64,1.0
-29.1,256,1,128,1.0
-29.1,256,2,1,1.0
-29.1,256,2,2,1.0
-29.1,256,2,4,1.0
-29.1,256,2,8,1.0
-29.1,256,2,16,1.0
-29.1,256,2,32,1.0
-29.1,256,2,64,1.0
-29.1,256,2,128,1.0
-29.1,256,3,1,1.0
-29.1,256,3,2,1.0
-29.1,256,3,4,1.0
-29.1,256,3,8,1.0
-29.1,256,3,16,1.0
-29.1,256,3,32,1.0
-29.1,256,3,64,1.0
-29.1,256,3,128,1.0
-29.1,256,4,1,1.0
-29.1,256,4,2,1.0
-29.1,256,4,4,1.0
-29.1,256,4,8,1.0
-29.1,256,4,16,1.0
-29.1,256,4,32,1.0
-29.1,256,4,64,1.0
-29.1,256,4,128,1.0
-29.1,256,6,1,1.0
-29.1,256,6,2,1.0
-29.1,256,6,4,1.0
-29.1,256,6,8,1.0
-29.1,256,6,16,1.0
-29.1,256,6,32,1.0
-29.1,256,6,64,1.0
-29.1,256,6,128,1.0
-29.1,256,8,1,1.0
-29.1,256,8,2,1.0
-29.1,256,8,4,1.0
-29.1,256,8,8,1.0
-29.1,256,8,16,1.0
-29.1,256,8,32,1.0
-29.1,256,8,64,1.0
-29.1,256,8,128,1.0
-29.0,256,0,1,1.0
-29.0,256,0,2,1.0
-29.0,256,0,4,1.0
-29.0,256,0,8,1.0
-29.0,256,0,16,1.0
-29.0,256,0,32,1.0
-29.0,256,0,64,1.0
-29.0,256,0,128,1.0
-29.0,256,1,1,1.0
-29.0,256,1,2,1.0
-29.0,256,1,4,1.0
-29.0,256,1,8,1.0
-29.0,256,1,16,1.0
-29.0,256,1,32,1.0
-29.0,256,1,64,1.0
-29.0,256,1,128,1.0
-29.0,256,2,1,1.0
-29.0,256,2,2,1.0
-29.0,256,2,4,1.0
-29.0,256,2,8,1.0
-29.0,256,2,16,1.0
-29.0,256,2,32,1.0
-29.0,256,2,64,1.0
-29.0,256,2,128,1.0
-29.0,256,3,1,1.0
-29.0,256,3,2,1.0
-29.0,256,3,4,1.0
-29.0,256,3,8,1.0
-29.0,256,3,16,1.0
-29.0,256,3,32,1.0
-29.0,256,3,64,1.0
-29.0,256,3,128,1.0
-29.0,256,4,1,1.0
-29.0,256,4,2,1.0
-29.0,256,4,4,1.0
-29.0,256,4,8,1.0
-29.0,256,4,16,1.0
-29.0,256,4,32,1.0
-29.0,256,4,64,1.0
-29.0,256,4,128,1.0
-29.0,256,6,1,1.0
-29.0,256,6,2,1.0
-29.0,256,6,4,1.0
-29.0,256,6,8,1.0
-29.0,256,6,16,1.0
-29.0,256,6,32,1.0
-29.0,256,6,64,1.0
-29.0,256,6,128,1.0
-29.0,256,8,1,1.0
-29.0,256,8,2,1.0
-29.0,256,8,4,1.0
-29.0,256,8,8,1.0
-29.0,256,8,16,1.0
-29.0,256,8,32,1.0
-29.0,256,8,64,1.0
-29.0,256,8,128,1.0
-28.9,256,0,1,1.0
-28.9,256,0,2,1.0
-28.9,256,0,4,1.0
-28.9,256,0,8,1.0
-28.9,256,0,16,1.0
-28.9,256,0,32,1.0
-28.9,256,0,64,1.0
-28.9,256,0,128,1.0
-28.9,256,1,1,1.0
-28.9,256,1,2,1.0
-28.9,256,1,4,1.0
-28.9,256,1,8,1.0
-28.9,256,1,16,1.0
-28.9,256,1,32,1.0
-28.9,256,1,64,1.0
-28.9,256,1,128,1.0
-28.9,256,2,1,1.0
-28.9,256,2,2,1.0
-28.9,256,2,4,1.0
-28.9,256,2,8,1.0
-28.9,256,2,16,1.0
-28.9,256,2,32,1.0
-28.9,256,2,64,1.0
-28.9,256,2,128,1.0
-28.9,256,3,1,1.0
-28.9,256,3,2,1.0
-28.9,256,3,4,1.0
-28.9,256,3,8,1.0
-28.9,256,3,16,1.0
-28.9,256,3,32,1.0
-28.9,256,3,64,1.0
-28.9,256,3,128,1.0
-28.9,256,4,1,1.0
-28.9,256,4,2,1.0
-28.9,256,4,4,1.0
-28.9,256,4,8,1.0
-28.9,256,4,16,1.0
-28.9,256,4,32,1.0
-28.9,256,4,64,1.0
-28.9,256,4,128,1.0
-28.9,256,6,1,1.0
-28.9,256,6,2,1.0
-28.9,256,6,4,1.0
-28.9,256,6,8,1.0
-28.9,256,6,16,1.0
-28.9,256,6,32,1.0
-28.9,256,6,64,1.0
-28.9,256,6,128,1.0
-28.9,256,8,1,1.0
-28.9,256,8,2,1.0
-28.9,256,8,4,1.0
-28.9,256,8,8,1.0
-28.9,256,8,16,1.0
-28.9,256,8,32,1.0
-28.9,256,8,64,1.0
-28.9,256,8,128,1.0
-28.8,256,0,1,1.0
-28.8,256,0,2,1.0
-28.8,256,0,4,1.0
-28.8,256,0,8,1.0
-28.8,256,0,16,1.0
-28.8,256,0,32,1.0
-28.8,256,0,64,1.0
-28.8,256,0,128,1.0
-28.8,256,1,1,1.0
-28.8,256,1,2,1.0
-28.8,256,1,4,1.0
-28.8,256,1,8,1.0
-28.8,256,1,16,1.0
-28.8,256,1,32,1.0
-28.8,256,1,64,1.0
-28.8,256,1,128,1.0
-28.8,256,2,1,1.0
-28.8,256,2,2,1.0
-28.8,256,2,4,1.0
-28.8,256,2,8,1.0
-28.8,256,2,16,1.0
-28.8,256,2,32,1.0
-28.8,256,2,64,1.0
-28.8,256,2,128,1.0
-28.8,256,3,1,1.0
-28.8,256,3,2,1.0
-28.8,256,3,4,1.0
-28.8,256,3,8,1.0
-28.8,256,3,16,1.0
-28.8,256,3,32,1.0
-28.8,256,3,64,1.0
-28.8,256,3,128,1.0
-28.8,256,4,1,1.0
-28.8,256,4,2,1.0
-28.8,256,4,4,1.0
-28.8,256,4,8,1.0
-28.8,256,4,16,1.0
-28.8,256,4,32,1.0
-28.8,256,4,64,1.0
-28.8,256,4,128,1.0
-28.8,256,6,1,1.0
-28.8,256,6,2,1.0
-28.8,256,6,4,1.0
-28.8,256,6,8,1.0
-28.8,256,6,16,1.0
-28.8,256,6,32,1.0
-28.8,256,6,64,1.0
-28.8,256,6,128,1.0
-28.8,256,8,1,1.0
-28.8,256,8,2,1.0
-28.8,256,8,4,1.0
-28.8,256,8,8,1.0
-28.8,256,8,16,1.0
-28.8,256,8,32,1.0
-28.8,256,8,64,1.0
-28.8,256,8,128,1.0
-28.7,256,0,1,1.0
-28.7,256,0,2,1.0
-28.7,256,0,4,1.0
-28.7,256,0,8,1.0
-28.7,256,0,16,1.0
-28.7,256,0,32,1.0
-28.7,256,0,64,1.0
-28.7,256,0,128,1.0
-28.7,256,1,1,1.0
-28.7,256,1,2,1.0
-28.7,256,1,4,1.0
-28.7,256,1,8,1.0
-28.7,256,1,16,1.0
-28.7,256,1,32,1.0
-28.7,256,1,64,1.0
-28.7,256,1,128,1.0
-28.7,256,2,1,1.0
-28.7,256,2,2,1.0
-28.7,256,2,4,1.0
-28.7,256,2,8,1.0
-28.7,256,2,16,1.0
-28.7,256,2,32,1.0
-28.7,256,2,64,1.0
-28.7,256,2,128,1.0
-28.7,256,3,1,1.0
-28.7,256,3,2,1.0
-28.7,256,3,4,1.0
-28.7,256,3,8,1.0
-28.7,256,3,16,1.0
-28.7,256,3,32,1.0
-28.7,256,3,64,1.0
-28.7,256,3,128,1.0
-28.7,256,4,1,1.0
-28.7,256,4,2,1.0
-28.7,256,4,4,1.0
-28.7,256,4,8,1.0
-28.7,256,4,16,1.0
-28.7,256,4,32,1.0
-28.7,256,4,64,1.0
-28.7,256,4,128,1.0
-28.7,256,6,1,1.0
-28.7,256,6,2,1.0
-28.7,256,6,4,1.0
-28.7,256,6,8,1.0
-28.7,256,6,16,1.0
-28.7,256,6,32,1.0
-28.7,256,6,64,1.0
-28.7,256,6,128,1.0
-28.7,256,8,1,1.0
-28.7,256,8,2,1.0
-28.7,256,8,4,1.0
-28.7,256,8,8,1.0
-28.7,256,8,16,1.0
-28.7,256,8,32,1.0
-28.7,256,8,64,1.0
-28.7,256,8,128,1.0
-28.6,256,0,1,1.0
-28.6,256,0,2,1.0
-28.6,256,0,4,1.0
-28.6,256,0,8,1.0
-28.6,256,0,16,1.0
-28.6,256,0,32,1.0
-28.6,256,0,64,1.0
-28.6,256,0,128,1.0
-28.6,256,1,1,1.0
-28.6,256,1,2,1.0
-28.6,256,1,4,1.0
-28.6,256,1,8,1.0
-28.6,256,1,16,1.0
-28.6,256,1,32,1.0
-28.6,256,1,64,1.0
-28.6,256,1,128,1.0
-28.6,256,2,1,1.0
-28.6,256,2,2,1.0
-28.6,256,2,4,1.0
-28.6,256,2,8,1.0
-28.6,256,2,16,1.0
-28.6,256,2,32,1.0
-28.6,256,2,64,1.0
-28.6,256,2,128,1.0
-28.6,256,3,1,1.0
-28.6,256,3,2,1.0
-28.6,256,3,4,1.0
-28.6,256,3,8,1.0
-28.6,256,3,16,1.0
-28.6,256,3,32,1.0
-28.6,256,3,64,1.0
-28.6,256,3,128,1.0
-28.6,256,4,1,1.0
-28.6,256,4,2,1.0
-28.6,256,4,4,1.0
-28.6,256,4,8,1.0
-28.6,256,4,16,1.0
-28.6,256,4,32,1.0
-28.6,256,4,64,1.0
-28.6,256,4,128,1.0
-28.6,256,6,1,1.0
-28.6,256,6,2,1.0
-28.6,256,6,4,1.0
-28.6,256,6,8,1.0
-28.6,256,6,16,1.0
-28.6,256,6,32,1.0
-28.6,256,6,64,1.0
-28.6,256,6,128,1.0
-28.6,256,8,1,1.0
-28.6,256,8,2,1.0
-28.6,256,8,4,1.0
-28.6,256,8,8,1.0
-28.6,256,8,16,1.0
-28.6,256,8,32,1.0
-28.6,256,8,64,1.0
-28.6,256,8,128,1.0
-28.5,256,0,1,1.0
-28.5,256,0,2,1.0
-28.5,256,0,4,1.0
-28.5,256,0,8,1.0
-28.5,256,0,16,1.0
-28.5,256,0,32,1.0
-28.5,256,0,64,1.0
-28.5,256,0,128,1.0
-28.5,256,1,1,1.0
-28.5,256,1,2,1.0
-28.5,256,1,4,1.0
-28.5,256,1,8,1.0
-28.5,256,1,16,1.0
-28.5,256,1,32,1.0
-28.5,256,1,64,1.0
-28.5,256,1,128,1.0
-28.5,256,2,1,1.0
-28.5,256,2,2,1.0
-28.5,256,2,4,1.0
-28.5,256,2,8,1.0
-28.5,256,2,16,1.0
-28.5,256,2,32,1.0
-28.5,256,2,64,1.0
-28.5,256,2,128,1.0
-28.5,256,3,1,1.0
-28.5,256,3,2,1.0
-28.5,256,3,4,1.0
-28.5,256,3,8,1.0
-28.5,256,3,16,1.0
-28.5,256,3,32,1.0
-28.5,256,3,64,1.0
-28.5,256,3,128,1.0
-28.5,256,4,1,1.0
-28.5,256,4,2,1.0
-28.5,256,4,4,1.0
-28.5,256,4,8,1.0
-28.5,256,4,16,1.0
-28.5,256,4,32,1.0
-28.5,256,4,64,1.0
-28.5,256,4,128,1.0
-28.5,256,6,1,1.0
-28.5,256,6,2,1.0
-28.5,256,6,4,1.0
-28.5,256,6,8,1.0
-28.5,256,6,16,1.0
-28.5,256,6,32,1.0
-28.5,256,6,64,1.0
-28.5,256,6,128,1.0
-28.5,256,8,1,1.0
-28.5,256,8,2,1.0
-28.5,256,8,4,1.0
-28.5,256,8,8,1.0
-28.5,256,8,16,1.0
-28.5,256,8,32,1.0
-28.5,256,8,64,1.0
-28.5,256,8,128,1.0
-28.4,256,0,1,1.0
-28.4,256,0,2,1.0
-28.4,256,0,4,1.0
-28.4,256,0,8,1.0
-28.4,256,0,16,1.0
-28.4,256,0,32,1.0
-28.4,256,0,64,1.0
-28.4,256,0,128,1.0
-28.4,256,1,1,1.0
-28.4,256,1,2,1.0
-28.4,256,1,4,1.0
-28.4,256,1,8,1.0
-28.4,256,1,16,1.0
-28.4,256,1,32,1.0
-28.4,256,1,64,1.0
-28.4,256,1,128,1.0
-28.4,256,2,1,1.0
-28.4,256,2,2,1.0
-28.4,256,2,4,1.0
-28.4,256,2,8,1.0
-28.4,256,2,16,1.0
-28.4,256,2,32,1.0
-28.4,256,2,64,1.0
-28.4,256,2,128,1.0
-28.4,256,3,1,1.0
-28.4,256,3,2,1.0
-28.4,256,3,4,1.0
-28.4,256,3,8,1.0
-28.4,256,3,16,1.0
-28.4,256,3,32,1.0
-28.4,256,3,64,1.0
-28.4,256,3,128,1.0
-28.4,256,4,1,1.0
-28.4,256,4,2,1.0
-28.4,256,4,4,1.0
